Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
BRK/B UN Equity,Berkshire Hathaway Inc,2016,US0846707026,6331,402010,US,367000,620854,0,0,0,86370,#N/A N/A,3.5088,51.7857,1.1921,4.1043,8.9558,25.4505
CHDN UW Equity,Churchill Downs Inc,2016,US1714841087,7948,253010,US,4000,2254.4,39,39,39,45.3,#N/A N/A,3.5088,51.7857,1.7973,4.7707,16.6027,27.7724
UBA UN Equity,Urstadt Biddle Properties Inc,2016,US9172862057,6798,601010,US,51,931.324,#N/A N/A,#N/A N/A,#N/A N/A,7.271,#N/A N/A,8.7719,51.7857,1.4798,3.7621,5.3172,#N/A N/A
BBY UN Equity,Best Buy Co Inc,2016,US0865161014,5731,255040,US,125000,13519,0,0,0,1976,55.2083,38.5965,66.0714,1.3451,6.237,19.1401,23.2519
HUBB UN Equity,Hubbell Inc,2016,US4435106079,3640,201040,US,17400,3525,#N/A N/A,#N/A N/A,#N/A N/A,437.6,3.876,19.2982,55.3571,2.3866,8.7025,17.5256,31.5274
KSU UN Equity,Kansas City Southern,2016,US4851703029,4011,203040,US,6820,8817.5,0,0,0,170.6,38.7597,38.5965,60.7143,1.5627,5.5727,11.9595,#N/A N/A
HRB UN Equity,H&R Block Inc,2016,US0936711052,7200,253020,US,2400,2847.225,0,0,0,896.801,#N/A N/A,3.5088,57.1429,2.5595,10.1666,40.3294,44.5205
BOOT UN Equity,Boot Barn Holdings Inc,2016,US0994061002,5661,255040,US,1200,539.326,0,0,0,7.195,#N/A N/A,#N/A N/A,48.2143,1.1569,2.2804,6.494,30.4388
IDA UN Equity,IDACORP Inc,2016,US4511071064,4911,551010,US,2008,6289.897,0,#N/A N/A,#N/A N/A,61.48,32.4138,37.5,55.3571,1.303,3.2207,9.4159,66.726
IT UN Equity,Gartner Inc,2016,US3666511072,8741,451020,US,8813,2367.335,0,0,0,474.233,1.5504,14.0351,51.7857,4.503,8.5356,#N/A N/A,61.3159
BSX UN Equity,Boston Scientific Corp,2016,US1011371077,3841,351010,US,27000,18096,920,914,920,196,24.8062,14.0351,57.1429,2.256,1.9156,5.3168,71.0947
IEX UN Equity,IDEX Corp,2016,US45167R1041,3561,201060,US,7158,3154.944,39.4,#N/A N/A,#N/A N/A,235.964,#N/A N/A,19.2982,51.7857,2.6927,9.097,18.1515,44.0487
BMY UN Equity,Bristol-Myers Squibb Co,2016,US1101221083,2834,352020,US,25000,33707,4940,4405,4940,4237,37.9845,33.3333,66.0714,3.4051,13.6185,29.281,74.5406
INT UN Equity,World Fuel Services Corp,2016,US9814751064,5172,101020,US,5000,5412.6,0,0,0,698.6,#N/A N/A,#N/A N/A,48.2143,1.2372,2.5438,6.6162,3.3277
BF/B UN Equity,Brown-Forman Corp,2016,US1156372096,2080,302010,US,4600,4183,0,0,0,263,38.7597,38.5965,69.6429,5.1799,25.4928,61.5518,69.4076
MIME UW Equity,Mimecast Ltd,2016,GB00BYT5JK65,7372,451030,US,#N/A N/A,175.127,17.663,17.663,17.663,106.14,#N/A N/A,#N/A N/A,#N/A N/A,3.5665,-2.458,#N/A N/A,70.524
HR UN Equity,Healthcare Realty Trust Inc,2016,US4219461047,6798,601010,US,261,3040.647,#N/A N/A,#N/A N/A,#N/A N/A,5.409,4.6512,19.2982,51.7857,1.6171,2.9251,5.9093,#N/A N/A
CTRA UN Equity,Coterra Energy Inc,2016,US1270971039,1311,101020,US,421,5122.569,0,0,0,498.542,4.1322,21.875,69.6429,2.6199,-8.0405,-18.2275,-1.0121
CPB UN Equity,Campbell Soup Co,2016,US1344291091,2000,302020,US,16500,7837,105,105,105,296,54.2636,66.6667,69.6429,3.2527,7.0755,38.7474,36.7793
CONN UW Equity,Conn's Inc,2016,US2082421072,5731,255040,US,4300,2025.3,0,0,0,12.254,2.0833,14.0351,51.7857,0.9205,1.681,5.1772,48.355
